"id";"alimento";"energia_Kcal";"energia_KJ";"prot_tot_gr";"glucidi_tot";"lipidi_tot";"saturi_tot";"fkAllergene1";"fkAllergene2";"fkAllergene3";"fkTipologiaAlimento"
623;"SALAME NOSTRANO";370.0;1548.0;27.3;1.1;28.5;9.33;15;0;0;7
624;"SALAME UNGHERESE";406.0;1699.0;24.2;0.7;34.0;9.74;15;0;0;7
625;"SALATINI";514.0;2151.0;7.2;71.1;24.3;7.06;1;3;0;2
626;"SALE da cucina";0.0;0.0;0.0;0.0;0.0;0.0;15;0;0;1
627;"SALMONE [SALMO SALAR]";180.0;753.0;20.2;0.0;11.0;1.9;4;0;0;13
628;"SALMONE AFFUMICATO";142.0;594.0;25.4;0.0;4.5;0.78;4;0;0;13
629;"SALMONE IN SALAMOIA";188.0;787.0;21.1;0.0;11.5;2.44;4;0;0;13
630;"SALSICCIA DI FEGATO";424.0;1774.0;12.4;0.9;41.2;12.0;15;0;0;7
631;"SALSICCIA DI SUINO E BOVINO, fresca";394.0;1648.0;14.2;0.0;37.4;14.16;15;0;0;7
632;"SALSICCIA DI SUINO, fresca";304.0;1272.0;15.4;0.6;26.7;12.22;15;0;0;7
633;"SALSICCIA DI SUINO, secca";514.0;2151.0;22.0;0.0;47.3;21.64;15;0;0;7
634;"SALVIA [SALVIA OFFICINALIS], fresca";119.0;498.0;3.9;15.6;4.6;2.54;15;0;0;11
635;"SALVIA, secca macinata";315.0;1318.0;10.6;42.7;12.7;7.03;15;0;0;1
636;"SARAGO [DIPLODUS SARGUS]";103.0;431.0;15.0;1.0;4.4;0.57;4;0;0;13
637;"SARDA [SARDINA PILCHARDUS]";129.0;540.0;20.8;1.5;4.5;1.02;4;0;0;13
638;"SARDINE SALATE";133.0;556.0;25.1;0.0;3.6;0.82;4;0;0;1
639;"SARDINE SOTT'OLIO";198.0;828.0;22.3;0.0;12.1;2.4;4;0;0;1
640;"SCALOGNO [ALLIUM ASCALONIUM]";20.0;84.0;1.5;3.3;0.2;0.03;15;0;0;11
641;"SCAMORZA";209.0;874.0;22.7;7.2;10.1;6.28;7;0;0;6
642;"SCAMORZA AFFUMICATA";209.0;874.0;22.7;7.2;10.1;6.28;7;0;0;6
643;"SCAROLA [LACTUCA SCAROLA]";15.0;63.0;1.6;1.7;0.2;0.05;15;0;0;11
644;"SCIROPPO DI MALTO";318.0;1331.0;6.2;71.3;0.0;0.0;15;0;0;1
645;"SCIROPPO PER BIBITE";297.0;1243.0;0.3;79.0;0.0;0.0;15;0;0;1
646;"SCORZONERA [TRAGOPOGON PORRIFOLIUS]";27.0;113.0;1.3;10.2;0.3;0.07;15;0;0;11
647;"SEDANO [APIUM GRAVEOLENS]";20.0;84.0;2.3;2.4;0.2;0.05;9;0;0;11
648;"SEDANO RAPA [APIUM GRAVEOLENS, CV RAPACEUM]";23.0;96.0;1.9;3.8;0.1;0.03;9;0;0;11
649;"SEGO DI BUE";872.0;3648.0;0.8;0.0;96.5;48.06;15;0;0;7
650;"SEMOLA";341.0;1427.0;11.5;77.6;0.5;0.12;1;0;0;4
651;"SEPPIA [SEPIA OFFICINALIS]";72.0;301.0;14.0;0.7;1.5;0.43;14;0;0;13
652;"SEPPIA SURGELATA";63.0;264.0;14.1;0.7;0.4;0.11;14;0;0;14
653;"SGOMBRO O MACCARELLO [SCOMBER SCOMBRUS]";168.0;703.0;17.0;0.0;11.1;2.6;4;0;0;13
654;"SGOMBRO O MACCARELLO IN SALAMOIA";177.0;741.0;19.3;0.0;11.1;2.6;4;0;0;1
655;"SGOMBRO, FILETTI SOTT'OLIO";201.0;841.0;25.3;1.0;10.7;2.31;4;0;0;13
656;"SHOYU, salsa di soia e grano";53.0;222.0;5.2;7.7;0.1;0.01;1;6;0;1
657;"SODA DOLCE";22.0;92.0;2.0;5.8;0.0;0.0;15;0;0;1
658;"SOFFICINI AL FORMAGGIO SURGELATI";278.0;1163.0;7.2;28.6;15.8;3.14;7;0;0;3
659;"SOGLIOLA [SOLEA SOLEA]";86.0;360.0;16.9;0.8;1.7;0.22;4;0;0;13
660;"SOGLIOLA SURGELATA";84.0;351.0;17.3;0.8;1.3;0.17;4;0;0;13
661;"SOIA [GLYCINE MAX], SEMI";398.0;1665.0;36.9;23.3;18.1;2.54;6;0;0;1
662;"SOIA, BISTECCA";329.0;1377.0;47.0;20.9;1.2;0.14;6;0;0;1
663;"SOIA, GERMOGLI";49.0;205.0;6.2;3.0;1.4;0.2;6;0;0;1
664;"SOTTILETTE";330.0;1381.0;20.8;0.9;27.0;16.14;7;0;0;6
665;"SPECK";301.0;1259.0;28.3;0.5;20.9;5.72;15;0;0;7
666;"SPIGOLA [MORONE LABRAX]";82.0;343.0;16.5;0.6;1.5;0.24;4;0;0;13
667;"SPINACI [SPINACIA OLERACEA]";31.0;130.0;3.4;3.0;0.7;0.07;15;0;0;11
668;"SPINACI IN SCATOLA";19.0;79.0;2.8;0.8;0.5;0.08;15;0;0;1
669;"SPREMUTA DI ARANCIA";33.0;138.0;0.5;8.2;0.0;0.0;15;0;0;2
670;"SPREMUTA DI POMPELMO";30.0;126.0;0.3;7.9;2.0;0.0;15;0;0;2
671;"SPUMANTI AROMATICI";82.0;343.0;0.2;5.1;0.0;0.0;15;0;0;1
672;"SPUMANTI DEMI0SEC";71.0;297.0;0.1;2.5;0.0;0.0;15;0;0;1
673;"SPUMANTI SECCHI";65.0;272.0;0.1;0.7;0.0;0.0;15;0;0;1
674;"STARNA [PERDIX PERDIX], COSCIO";113.0;473.0;26.4;0.0;2.6;0.79;15;0;0;7
675;"STOCCAFISSO [GADUS POUTASSOU], ammollato";92.0;385.0;20.7;0.3;0.9;0.13;4;0;0;13
676;"STOCCAFISSO, secco";358.0;1498.0;80.1;1.1;3.5;0.68;4;0;0;13
677;"STRACCHINO";300.0;1255.0;18.5;2.0;25.1;15.58;7;0;0;6
678;"STRUTTO O SUGNA";892.0;3732.0;0.3;0.0;99.0;42.47;15;0;0;7
679;"SUCCO DI ALBICOCCA, CONSERVATO";47.0;197.0;0.3;12.0;0.1;0.01;16;0;0;1
680;"SUCCO DI ANANAS, CONSERVATO";56.0;234.0;0.3;13.6;0.1;0.01;16;0;0;1
681;"SUCCO DI ARANCIA E POMPELMO non zuccherato";43.0;180.0;0.6;10.2;0.1;0.01;16;0;0;1
682;"SUCCO DI ARANCIA, CONCENTRATO";185.0;774.0;2.9;44.9;0.5;0.06;16;0;0;1
683;"SUCCO DI ARANCIA, CONSERVATO, non zuccherato";36.0;151.0;0.5;8.8;0.1;0.01;16;0;0;1
684;"SUCCO DI BARBABIETOLA, FRESCO";14.0;59.0;0.8;2.9;0.0;0.0;16;0;0;1
685;"SUCCO DI CAROTE, CONSERVATO";24.0;100.0;0.5;5.7;0.1;0.02;16;0;0;1
686;"SUCCO DI FRUTTA, CONSERVATO";56.0;234.0;0.3;14.5;0.1;0.02;16;0;0;1
687;"SUCCO DI LIMONE, CONSERVATO";21.0;88.0;0.4;6.1;0.3;0.04;16;0;0;1
688;"SUCCO DI LIMONE, FRESCO";6.0;25.0;0.2;1.4;0.0;0.0;16;0;0;1
689;"SUCCO DI MANDARINO, CONSERVATO, non zuccherat";50.0;209.0;0.5;11.8;0.2;0.01;16;0;0;1
690;"SUCCO DI MANDARINO, FRESCO";43.0;180.0;0.5;9.9;0.2;0.02;16;0;0;1
691;"SUCCO DI MELA, CONSERVATO, non zuccherato";38.0;159.0;0.1;9.9;0.1;0.02;16;0;0;1
692;"SUCCO DI MELAGRANA, FRESCO";44.0;184.0;0.2;11.6;2.0;0.0;16;0;0;1
693;"SUCCO DI PERA, CONSERVATO";60.0;251.0;0.1;15.2;2.0;0.0;16;0;0;1
694;"SUCCO DI PESCA, CONSERVATO";54.0;226.0;0.3;13.3;2.0;0.0;16;0;0;1
695;"SUCCO DI POMODORO, CONSERVATO";14.0;59.0;0.8;3.0;2.0;0.0;16;0;0;1
696;"SUCCO DI POMPELMO, CONSERVATO, non zuccherato";33.0;138.0;0.4;8.3;0.1;0.01;16;0;0;1
697;"SUCCO DI POMPELMO, CONSERVATO, zuccherato";46.0;192.0;0.6;11.0;0.1;0.01;16;0;0;1
698;"SUCCO DI SPINACI";10.0;42.0;1.4;0.5;0.3;0.03;16;0;0;1
699;"SUCCO DI UVA, CONSERVATO, non zuccherato";46.0;192.0;0.3;11.7;0.1;0.03;16;0;0;1
700;"SUCCO TROPICALE, CONSERVATO";47.0;197.0;0.2;11.6;0.1;0.01;16;0;0;1
701;"SUINO [SUS SCROFA], CARNE SEMIGRASSA";268.0;1121.0;17.2;0.0;22.1;10.11;15;0;0;7
702;"SUINO, BISTECCA";100.0;418.0;18.3;0.0;3.0;1.37;15;0;0;7
703;"SUINO, CARNE MAGRA";141.0;590.0;19.9;0.0;6.8;3.11;15;0;0;7
704;"SUINO, COSCIO";102.0;427.0;18.7;0.0;3.0;1.37;15;0;0;7
705;"SUINO, CUORE";159.0;665.0;18.3;0.4;9.4;2.71;15;0;0;7
706;"SUINO, FEGATO";140.0;586.0;22.8;1.5;4.8;1.48;15;0;0;7
707;"SUINO, SANGUE";78.0;326.0;19.0;0.1;0.2;0.01;15;0;0;7
708;"SURIMI";99.0;414.0;15.2;6.9;0.9;0.17;2;0;0;13
709;"TACCHINA [MELEAGRIS GALLOPAVO], PETTO";145.0;607.0;22.0;0.4;6.2;2.01;15;0;0;7
710;"TACCHINA, ALA";241.0;1008.0;22.3;0.0;16.9;5.11;15;0;0;7
711;"TACCHINA, COSCIA";253.0;1059.0;20.9;0.4;18.7;5.65;15;0;0;7
712;"TACCHINO [MELEAGRIS GALLOPAVO], INTERO";146.0;611.0;21.0;0.1;6.8;2.2;15;0;0;7
713;"TACCHINO, ALA";193.0;808.0;22.3;0.0;11.5;3.48;15;0;0;7
714;"TACCHINO, COSCIA";186.0;778.0;20.9;0.4;11.2;3.39;15;0;0;7
715;"TACCHINO, PETTO";134.0;561.0;22.0;0.4;4.9;1.59;15;0;0;7
716;"TALEGGIO";306.0;1280.0;20.6;2.0;24.8;15.39;7;0;0;6
717;"TAMARI, salsa di soia";60.0;251.0;10.5;4.8;0.1;0.01;6;0;0;1
718;"TAPIOCA [MANIHOT UTILISSIMA]";363.0;1519.0;0.6;95.8;0.2;0.05;15;0;0;1
719;"TARTUFO NERO [TUBER MELANOSPORUM]";31.0;130.0;6.0;0.7;0.5;0.11;15;0;0;1
720;"TE' DETEINATO, in foglie";108.0;452.0;19.6;3.0;2.0;0.44;15;0;0;1
721;"TE' DETEINATO, in tazza";2.0;2.0;0.1;2.0;2.0;2.0;15;0;0;1
722;"TE', in foglie";108.0;452.0;19.6;3.0;2.0;0.44;15;0;0;1
723;"TE', in tazza";2.0;2.0;0.1;2.0;2.0;2.0;15;0;0;1
724;"TEMPEH";166.0;695.0;20.7;6.4;6.4;0.92;6;0;0;2
725;"TIMO [THYMUS VULGARIS], fresco";95.0;397.0;3.0;15.1;2.5;0.69;15;0;0;11
726;"TIMO, secco macinato";276.0;1155.0;9.1;45.3;7.4;2.73;15;0;0;1
727;"TINCA [TINCA TINCA]";76.0;318.0;17.9;0.0;0.5;0.1;4;0;0;13
728;"TIRAMISU'";411.0;1720.0;13.2;33.5;25.8;14.32;1;3;7;2
729;"TISANA IN TAZZA";1.0;4.0;0.0;0.2;2.0;2.0;15;0;0;1
730;"TOFU";76.0;318.0;8.1;0.7;4.8;0.07;6;0;0;2
731;"TONNO [THUNNUS THYNNUS]";158.0;661.0;21.5;0.0;8.0;2.09;4;0;0;13
732;"TONNO IN SALAMOIA, SGOCCIOLATO";103.0;431.0;25.1;0.0;0.3;0.1;4;0;0;13
733;"TONNO SOTT'OLIO, SGOCCIOLATO";258.0;1079.0;22.8;0.0;18.5;3.13;4;0;0;13
734;"TORDO [TURDUS ERYCETORUM]";143.0;598.0;20.1;0.0;7.7;2.33;15;0;0;7
735;"TORRONE CON MANDORLE";479.0;2004.0;10.8;52.0;26.8;2.23;8;3;0;1
736;"TORTA AL CIOCCOLATO";315.0;1318.0;4.9;36.8;17.5;6.97;1;3;0;1
737;"TORTA MARGHERITA";368.0;1540.0;8.9;63.6;10.4;5.12;1;3;0;2
738;"TORTELLINI, freschi";310.0;1297.0;12.2;52.6;7.1;3.19;1;3;0;2
739;"TORTELLINI, secchi";389.0;1628.0;15.7;61.0;10.8;4.84;1;3;0;1
740;"TRIGLIA [MULLUS SURMULETUS]";123.0;515.0;15.8;1.1;6.2;1.62;4;0;0;13
741;"TROTA [SALMO TRUTTA]";86.0;360.0;14.7;0.0;3.0;0.7;4;0;0;13
742;"UOVO DI ANATRA";190.0;795.0;12.2;0.7;15.4;4.12;3;0;0;5
743;"UOVO DI GALLINA, ALBUME";47.0;197.0;10.9;0.8;2.0;0.0;3;0;0;5
744;"UOVO DI GALLINA, INTERO";156.0;653.0;13.0;1.0;11.1;3.31;3;0;0;5
745;"UOVO DI GALLINA, INTERO, IN POLVERE";574.0;2402.0;47.0;4.1;41.2;12.96;3;0;0;1
746;"UOVO DI GALLINA, TUORLO";355.0;1485.0;16.3;0.7;31.9;9.85;3;0;0;5
747;"UOVO DI OCA";189.0;791.0;13.8;1.0;14.4;3.6;3;0;0;5
748;"UOVO DI TACCHINA";147.0;615.0;12.8;1.0;10.2;3.64;3;0;0;5
749;"UVA [VITIS VINIFERA]";61.0;255.0;0.5;15.6;0.1;0.03;15;0;0;0
750;"UVA SULTANINA/UVETTA, UVA SECCA";283.0;1184.0;1.9;72.0;0.6;0.2;16;0;0;9
751;"VALERIANA [VALERIANELLA OLITORIA]";21.0;88.0;2.0;3.6;0.4;0.05;15;0;0;11
752;"VANIGLIA, estratto alcolico";288.0;1205.0;0.1;12.7;0.1;0.01;15;0;0;1
753;"VENTAGLIO O PETTINE [PECTEN JACOBEAUS]";88.0;368.0;16.8;2.4;0.8;0.08;14;0;0;13
754;"VERDURA E LEGUMI, SURGELATI";64.0;268.0;3.3;9.5;0.5;0.1;15;0;0;12
755;"VERMOUTH DOLCE";151.0;632.0;2.0;15.9;0.0;0.0;15;0;0;1
756;"VERMOUTH SECCO";109.0;456.0;0.1;3.0;0.0;0.0;15;0;0;1
757;"VINO BIANCO";71.0;297.0;0.1;0.1;0.0;0.0;12;0;0;1
758;"VINO ROSATO";71.0;297.0;0.1;2.5;0.0;0.0;12;0;0;1
759;"VINO ROSSO";76.0;318.0;0.1;0.2;0.0;0.0;12;0;0;1
760;"VITELLO [BOS TAURUS], CARNE MAGRA";92.0;385.0;20.7;0.1;1.0;0.36;15;0;0;7
761;"VITELLO, CARNE SEMIGRASSA";144.0;602.0;20.3;0.0;7.0;2.52;15;0;0;7
762;"VITELLO, CORATELLA";103.0;431.0;17.1;1.6;3.2;1.71;15;0;0;7
763;"VITELLONE [BOS TAURUS], CARNE SEMIGRASSA";160.0;669.0;19.1;0.0;9.3;3.94;15;0;0;7
764;"VITELLONE, CARNE GRASSA";204.0;854.0;18.1;0.0;14.6;6.18;15;0;0;7
765;"VITELLONE, CARNE MAGRA";113.0;473.0;21.3;0.0;3.1;1.31;15;0;0;7
766;"VITELLONE, tagli di carne grassa";155.0;649.0;20.2;0.0;8.3;3.51;15;0;0;7
767;"VITELLONE, tagli di carne magra";108.0;452.0;21.3;0.0;2.8;1.19;15;0;0;7
768;"VITELLONE, tagli di carne semigrassa";140.0;586.0;21.5;0.0;6.1;2.58;15;0;0;7
769;"VODKA";222.0;929.0;0.0;0.0;0.0;0.0;15;0;0;1
770;"VONGOLA [AMIGDALA DECUSSATA]";72.0;301.0;10.2;2.2;2.5;0.24;14;0;0;13
771;"VONGOLE IN SCATOLA, AL NATURALE";148.0;619.0;25.6;5.1;2.0;0.19;14;0;0;13
772;"WAKAME [UNDARIA spp], secca";71.0;297.0;12.4;2.0;2.4;0.49;15;0;0;1
773;"WHISKY";238.0;996.0;0.0;0.1;0.0;0.0;15;0;0;1
774;"WURSTEL";270.0;1130.0;13.7;1.4;23.3;6.94;15;0;0;7
775;"WURSTEL DI POLLO";257.0;1075.0;12.9;6.8;19.5;5.54;15;0;0;7
776;"WURSTEL DI TACCHINO";226.0;946.0;14.3;1.5;17.7;5.89;15;0;0;7
777;"YOGURT DI LATTE INTERO";63.0;264.0;3.5;3.6;3.9;2.07;7;0;0;6
778;"YOGURT DI LATTE INTERO AI CEREALI E MALTO";95.0;397.0;3.5;12.9;3.6;1.87;7;0;0;6
779;"YOGURT DI LATTE INTERO ALLA FRUTTA";88.0;368.0;2.8;12.6;3.3;1.75;7;0;0;6
780;"YOGURT DI LATTE MAGRO ALLA FRUTTA";90.0;377.0;4.1;17.9;0.7;0.39;7;0;0;6
781;"YOGURT DI LATTE PARZIALMENTE SCREMATO";43.0;180.0;3.4;3.8;1.7;0.95;7;0;0;6
782;"YOGURT DI LATTE SCREMATO";36.0;151.0;3.3;4.0;0.9;0.5;7;0;0;6
783;"ZAFFERANO [CROCUS SATIVUS]";310.0;1297.0;11.4;61.5;5.9;1.59;15;0;0;1
784;"ZAMPONE";360.0;1506.0;19.1;0.0;31.6;10.35;15;0;0;7
785;"ZUCCA GIALLA [CUCURBITA MAXIMA]";18.0;75.0;1.1;3.5;0.1;0.05;15;0;0;11
786;"ZUCCHERO (Saccarosio)";392.0;1640.0;0.0;104.5;0.0;0.0;15;0;0;1
787;"ZUCCHERO DI CANNA, GREZZO";362.0;1515.0;0.1;101.3;0.0;0.0;15;0;0;1
788;"ZUCCHINE [CUCURBITA PEPO]";11.0;46.0;1.3;1.4;0.1;0.02;15;0;0;1
789;"ESTRATTO VEGETALE";152.0;0.0;7.4;26.3;1.9;0.0;15;0;0;2
790;"PREPARATO DI PESCE SURGELATO";87.0;0.0;10.0;1.0;1.7;0.0;4;0;0;14
791;"VONGOLE SURGELATE";72.0;0.0;10.2;2.2;2.5;0.0;14;0;0;14
792;"MINESTRONE SURGELATO";49.0;0.0;2.4;17.0;0.7;0.0;15;0;0;12
793;"CHIODI DI GAROFANO";0.0;0.0;0.0;0.0;0.0;0.0;15;0;0;1
794;"UOVA INTERE PASTORIZZATE";138.0;0.0;13.0;0.0;9.5;0.0;3;0;0;5
795;"FILETTO DI PLATESSA";81.0;0.0;17.3;0.0;1.3;0.0;4;0;0;13
796;"ANELLI DI TOTANI SURGELATI";101.0;0.0;16.0;0.0;1.0;0.0;4;0;0;13
797;"COSTINE";20.0;0.0;1.3;2.8;0.1;0.0;15;0;0;7
798;"PATATE FRITTE SURGELATE";153.0;0.0;2.5;21.0;6.0;0.0;15;0;0;12
799;"ASPARAGI SURGELATI";20.0;0.0;2.4;2.0;0.0;0.0;15;0;0;12
800;"ASPARAGI SURGELATI";20.0;0.0;2.4;2.0;0.0;0.0;15;0;0;12
803;"CURRY";4.0;0.0;1.0;0.0;0.0;0.0;15;0;0;1
804;"PESTO ALLA GENOVESE";450.0;0.0;6.7;8.7;47.5;0.0;15;0;0;2
805;"INSALATA VERDE";19.0;0.0;1.8;2.2;0.4;0.0;15;0;0;11
807;"CECI /SCATOLA";105.0;0.0;5.3;18.2;1.4;0.0;15;0;0;1
808;"AFFETTATO DI POLLO";96.0;0.0;16.0;4.9;1.4;0.0;15;0;0;7
809;"MAIALE BRACIOLA";157.0;0.0;21.3;0.0;8.0;0.0;15;0;0;7
810;"NASELLO";75.0;0.0;17.3;0.0;0.6;0.0;4;0;0;13
811;"EMMENTHAL";403.0;0.0;28.5;3.6;30.6;0.0;7;0;0;6
812;"ROAST BEEF DI PROSCIUTTO FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
813;"TACCHINO AL DRAGONCELLO FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
814;"NASELLO BURRO E LIMONE FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;7;4;0;2
815;"MAIALE PIZZAIOLA FRULLATO";141.0;0.0;15.0;3.4;7.4;0.0;1;0;0;7
816;"MANZO CON CAROTE FRULLATO";141.0;0.0;15.0;3.4;7.4;0.0;15;0;0;7
817;"POLLO AL LIMONE FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
818;"SPEZZATINO DI VITELLO FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
819;"NASELLO ACETOSA FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;4;0;0;13
820;"OSSOBUCO FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
821;"POLLO IN FRICASSEA FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
822;"RATATOUILLE FRULLATA";64.0;0.0;3.0;8.4;0.0;0.0;16;0;0;2
823;"PUREA DI SEDANO FRULLATA";64.0;0.0;3.0;8.4;1.5;0.0;9;0;0;11
824;"LENTICCHIE ALLE VERDURE FRULLATE";77.0;0.0;4.7;13.0;5.1;0.0;15;0;0;2
825;"VERDURE PRIMAVERILI FRULLATE";64.0;0.0;3.0;8.4;1.5;0.0;15;0;0;2
826;"PUREA DI CAROTE FRULLATA";64.0;0.0;3.0;8.4;1.5;0.0;15;0;0;2
827;"PUREA DI FAGIOLINI FRULLATA";64.0;0.0;3.0;8.4;1.5;0.0;15;0;0;2
828;"NASELLO BURRO E LIMONE FRULLATO";142.0;0.0;15.0;3.7;7.5;0.0;7;4;0;2
829;"PASTINA APROTEICA IN BRODO";355.0;0.0;0.5;81.0;1.6;0.0;15;0;0;2
830;"PASTA APROTEICA";351.0;0.0;0.5;81.0;1.1;0.0;15;0;0;1
831;"PASTA DI MAIS";357.0;0.0;7.4;79.26;2.0;0.0;15;0;0;1
832;"TONNO IN SCATOLA";103.0;0.0;25.1;0.0;10.0;0.0;4;0;0;1
833;"AGNOLOTTI";265.0;0.0;10.6;40.7;7.3;0.0;1;3;0;2
834;"GNOCCHI";164.0;0.0;3.9;37.9;0.3;0.0;1;3;0;2
835;"CIME DI RAPA";27.0;11.2;2.6;2.8;0.1;0.0;15;0;0;11
836;"AROMI";20.0;0.0;3.7;2.0;0.6;0.0;15;0;0;1
837;"FARRO";61.0;255.0;5.0;10.7;0.4;0.05;1;0;0;1
838;"MANZO AFFUMICATO";117.0;492.0;23.1;0.4;2.0;0.0;15;0;0;7
839;"UOVO DI GALLINA, SODO";156.0;0.0;13.0;0.0;11.1;0.0;3;0;0;5
840;"Riso Venere";0.0;0.0;0.0;0.0;0.0;0.0;15;0;0;1
